# Apworld manifest — downloaded into the generator image's custom_worlds/ at build time
# by scripts/fetch_apworlds.py (see Dockerfile.generator). No .apworld binaries are
# vendored in the repo.
#
# GENERATED by scripts/refresh_from_sheet.py from the community spreadsheet. Hand edits are
# allowed but will be overwritten on the next refresh; pin/override entries deliberately.
#
# Columns: name,url,sha256
#   DEFAULT = latest (releases/latest/download). To pin when an upstream release breaks,
#   swap the url to a tagged release and add its sha256.
name,url,sha256
clair_obscur,https://github.com/Demorck/ClairObscur_APWorld/releases/latest/download/clair_obscur.apworld,
cloverpit,https://github.com/Syntheal/CloverPit.Archipelago/releases/latest/download/cloverpit.apworld,
cluster_truck,https://github.com/Nullctipus/ArchipelagoClusterTruck/releases/latest/download/cluster_truck.apworld,
cobalt_core,https://github.com/Isaac-SOL/CobaltCoreArchipelagoMod/releases/latest/download/cobalt_core.apworld,
cod_bo3,https://github.com/colin969/bo3_archipelago/releases/latest/download/cod_bo3.apworld,
codeforces,https://github.com/glipR/Archipelago/releases/latest/download/codeforces.apworld,
commandmission,https://github.com/themogulAP/ArchipelagoCM/releases/latest/download/commandmission.apworld,
conbunn_cardboard,https://github.com/SWCreeperKing/Conbunnipelago/releases/latest/download/conbunn_cardboard.apworld,
cookieclicker,https://github.com/Charlignon/AP_CookieClicker/releases/latest/download/cookieclicker.apworld,
cornkidz64,https://github.com/Cyb3RGER/cornkidz64_apworld/releases/latest/download/cornkidz64.apworld,
corruobserver,https://github.com/Adrthegamedev/ArchipelagoCorruObserver/releases/latest/download/corruobserver.apworld,
cotnd,https://github.com/lastingParadox/Archipelago-CotND/releases/latest/download/cotnd.apworld,
crabchampions,https://github.com/Str8UpWHITE64/CrabChampionsAP/releases/latest/download/crabchampions.apworld,
crash2,https://github.com/Sim10XXX/C2AP/releases/latest/download/crash2.apworld,
crosscode,https://github.com/CodeTriangle/CCMultiworldRandomizer/releases/latest/download/crosscode.apworld,
crossword,https://github.com/jm771/apworld_crossword/releases/latest/download/crossword.apworld,
crystal_project,https://github.com/Emerassi/CrystalProjectAPWorld/releases/latest/download/crystal_project.apworld,
crystalis,https://github.com/Ars-Ignis/Archipelago/releases/latest/download/crystalis.apworld,
ctjot,https://github.com/Anguirel86/Archipelago/releases/latest/download/ctjot.apworld,
cuphead,https://github.com/JKLeckr/Archipelago-cuphead/releases/latest/download/cuphead.apworld,
cursed_words,https://github.com/JammyGeeza/CursedWords-Archipelago/releases/download/v0.2.1/cursed_words.apworld,
custom_robo,https://github.com/Metaruler/ArchipelagoCR/releases/latest/download/custom_robo.apworld,
cvlod,https://github.com/LiquidCat64/LiquidCatipelago/releases/latest/download/cvlod.apworld,
cyberpunk2077,https://github.com/247Tossing/cyberpunk_archipelago/releases/download/v0.5/cyberpunk2077.apworld,
dark_souls_2,https://github.com/WildBunnie/DarkSoulsII-Archipelago/releases/latest/download/dark_souls_2.apworld,
dc1,https://github.com/Lizardman175/DC1AP/releases/latest/download/dc1.apworld,
dc2,https://github.com/ArsonAssassin/DC2AP/releases/download/0.0.4.0/dc2.apworld,
dead_cells,https://github.com/Maxlamenace572/DeadCellsArchipelago/releases/latest/download/dead_cells.apworld,
deadlock,https://github.com/ArchipelagoBrad/deadlockipelago/releases/latest/download/deadlock.apworld,
death_road_to_canada,https://github.com/PixelShake92/DR2C-AP/releases/latest/download/death_road_to_canada.apworld,
deathbulge,https://github.com/neverhelios/Archipelago/releases/latest/download/deathbulge.apworld,
deathlinkipelago,https://github.com/SWCreeperKing/DeathLinkipelago/releases/latest/download/deathlinkipelago.apworld,
deep_rock_galactic,https://github.com/Cousinit117/Deep-Rock-Galactic-AP/releases/latest/download/deep_rock_galactic.apworld,
deltarune,https://github.com/theemeraldsword85/DELTARUNEAP/releases/latest/download/deltarune.apworld,
diablo2_archipelago,https://github.com/solida1987/Diablo-II-Archipelago/releases/latest/download/diablo2_archipelago.apworld,
diceydungeons,https://github.com/Fylcoast/AP_diceydungeons/releases/download/v0.4.1-beta/diceydungeons.apworld,
diddy_kong_racing,https://github.com/zakwiz/DiddyKongRacingAP/releases/latest/download/diddy_kong_racing.apworld,
difficult_climbing,https://github.com/BlastSlimey/GrabbingChecks/releases/latest/download/difficult_climbing.apworld,
dk64,https://github.com/2dos/DK64-Randomizer-Dev/releases/latest/download/dk64.apworld,
dmc3,https://github.com/AshIndigo/Archipelago/releases/latest/download/dmc3.apworld,
dome_keeper,https://github.com/Arrcival/ArchipelagoDK/releases/latest/download/dome_keeper.apworld,
dontstarvetogether,https://github.com/DragonWolfLeo/Archipelago-DST/releases/latest/download/dontstarvetogether.apworld,
doronko_wanko,https://github.com/Vendily/DoronkoWankoArchipelago/releases/latest/download/doronko_wanko.apworld,
dqix,https://github.com/kid2407/ArchipelagoDQIX/releases/latest/download/dqix.apworld,
dracomino,https://github.com/DragonWolfLeo/DracominoAPWorld/releases/latest/download/dracomino.apworld,
dragon_warrior,https://github.com/Serpikmin/Archipelago-DragonWarrior/releases/latest/download/dragon_warrior.apworld,
drdr,https://github.com/Str8UpWHITE64/DRAP/releases/latest/download/drdr.apworld,
dredge,https://github.com/alextric234/ArchipelagoDredge/releases/latest/download/dredge.apworld,
dsp,https://github.com/BloodStainedCrow/Archipelago-DSP/releases/download/v0.2.0rc4/dsp.apworld,
dsr,https://github.com/tathxo/DSAP/releases/download/v0.1.5/dsr.apworld,
dtdds,https://github.com/TheOmnipresence/DoorSalesmanAPWorld/releases/latest/download/dtdds.apworld,
duke3d,https://github.com/randomcodegen/NBloodAP/releases/latest/download/duke3d.apworld,
dungeon_clawler_1.0.3,https://github.com/agilbert1412/Clawrchipelago/releases/download/1.0.3/dungeon_clawler_1.0.3.apworld,
dw1,https://github.com/ArsonAssassin/DWAP/releases/download/0.3.9/dw1.apworld,
dwarf_fortress,https://github.com/EthanTheBrave/Dwarfipelago/releases/latest/download/dwarf_fortress.apworld,
earthbound,https://github.com/PinkSwitch/Archipelago/releases/latest/download/earthbound.apworld,
elementipelago,https://github.com/peppidesu/elementipelago/releases/latest/download/elementipelago.apworld,
enderlilies,https://github.com/Trexounay/EnderLilies.Archipelago/releases/latest/download/enderlilies.apworld,
enter_the_gungeon,https://github.com/MaoBoulve/ArchipelaGunAPWorld/releases/latest/download/enter_the_gungeon.apworld,
etrian_odyssey,https://github.com/TheMasterZelda/Etrian_Odyssey_1_Archipelago/releases/latest/download/etrian_odyssey.apworld,
everhood_2,https://github.com/DeamonHunter/ArchipelagoEverhood2/releases/latest/download/everhood_2.apworld,
evolve,https://github.com/The1stBurb/EvolveAPWorld/releases/latest/download/evolve.apworld,
exocolonist,https://github.com/pamymaf/Exocolonist-AP/releases/latest/download/exocolonist.apworld,
factorio_bobs,https://github.com/Osiris32-and-a-half/BobFactorioAP/releases/latest/download/factorio_bobs.apworld,
factorio_platformer,https://github.com/lepideble/factorio-apworld/releases/latest/download/factorio_platformer.apworld,
factorio_saws,https://github.com/silasary/Archipelago/releases/latest/download/factorio_saws.apworld,
factorio_space_age,https://github.com/thejoshwolfe/Archipelago/releases/latest/download/factorio_space_age.apworld,
fe8,https://github.com/CT075/Archipelago/releases/latest/download/fe8.apworld,
feeding_frenzy_2,https://github.com/barretg/feeding-frenzy-2-archipelago/releases/latest/download/feeding_frenzy_2.apworld,
fez,https://github.com/nhyldmar/fez-ap/releases/download/v0.5.0/fez.apworld,
ff12_open_world,https://github.com/Bartz24/Archipelago/releases/latest/download/ff12_open_world.apworld,
ff1pr,https://github.com/wildham0/FF1PRAP/releases/latest/download/ff1pr.apworld,
ffta,https://github.com/spicynun/Archipelago/releases/download/0.6.5/ffta.apworld,
ffta2,https://github.com/Rurusachi/Archipelago/releases/latest/download/ffta2.apworld,
fftii,https://github.com/Rosalie-A/Archipelago/releases/latest/download/fftii.apworld,
ffx,https://github.com/FFX-AP/Archipelago/releases/latest/download/ffx.apworld,
flipwitch,https://github.com/Witchybun/FlipwitchAPClient/releases/latest/download/flipwitch.apworld,
fm,https://github.com/sg4e/Archipelago/releases/latest/download/fm.apworld,
forgedcurse,https://github.com/cheesepak/ap-forged-curse/releases/latest/download/forgedcurse.apworld,
fp2,https://github.com/Knuxfan24/Freedom-Planet-2-Archipelago/releases/latest/download/fp2.apworld,
frogmonster,https://github.com/Rooby-Roo/FrogmonsterAPWorld/releases/latest/download/frogmonster.apworld,
funi_raccoon,https://github.com/Jeffdev-Archipelago-Implementations/Archipelago-Funi/releases/latest/download/funi_raccoon.apworld,
garfkart,https://github.com/FeluciaPS/archipelago/releases/latest/download/garfkart.apworld,
gatoroboto,https://github.com/Ravenmist-Games/Gato-Roboto-APWorld/releases/latest/download/gatoroboto.apworld,
gatoroboto_b_side,https://github.com/Nitroxyz/Gato-Roboto-B-Side-Archipelago/releases/latest/download/gatoroboto_b_side.apworld,
gcfw,https://github.com/Levisaxos/Archipelago_GemcraftFrostbornWrath/releases/latest/download/gcfw.apworld,
getting_over_it,https://github.com/BlastSlimey/CheckingOverIt/releases/latest/download/getting_over_it.apworld,
gl,https://github.com/jamesbrq/GauntletLegendsAP/releases/latest/download/gl.apworld,
glover,https://github.com/Smg065/GloverArchipelago/releases/latest/download/glover.apworld,
glyphs,https://github.com/BuffYoda21/ap-glyphs/releases/latest/download/glyphs.apworld,
gmod_apadv,https://github.com/ChrisCj8/ap_adventure/releases/latest/download/gmod_apadv.apworld,
goldeneye,https://github.com/NotFamilyJules/goldeneye_ap/releases/latest/download/goldeneye.apworld,
grappledog,https://github.com/ProfDeCube-org/Archipelago-GrappleDog/releases/latest/download/grappledog.apworld,
grim_dawn,https://github.com/routhken/Archipelago/releases/latest/download/grim_dawn.apworld,
grinch,https://github.com/MarioSpore/Grinch-AP/releases/latest/download/grinch.apworld,
gstla,https://github.com/cjmang/Archipelago/releases/latest/download/gstla.apworld,
guardianlegend,https://github.com/CoreZer0/TheGuardianLegend-AP/releases/latest/download/guardianlegend.apworld,
hacknet,https://github.com/AutumnRivers/Archipelago-Hacknet/releases/download/hacknet-alpha-3-hotfix-2/hacknet.apworld,
hades,https://github.com/NaixGames/Polycosmos/releases/latest/download/hades.apworld,
hammerwatch,https://github.com/Parcosmic/Hammerwatch-Archipelago/releases/latest/download/hammerwatch.apworld,
hangman,https://github.com/pointfivetee/Archipelago-Hangman/releases/latest/download/hangman.apworld,
harry_potter_2_pc,https://github.com/Kryen112/HP2PC_AP/releases/latest/download/harry_potter_2_pc.apworld,
haste,https://github.com/WritingHusky/haste_apworld/releases/latest/download/haste.apworld,
hcniko,https://github.com/niieli/Niko-Archipelago/releases/latest/download/hcniko.apworld,
herocore,https://github.com/Minish-Link/HeroCore-Archipelago/releases/latest/download/herocore.apworld,
hexcells_infinite,https://github.com/Heaxeus/Archipelago/releases/latest/download/hexcells_infinite.apworld,
hi_fi_rush,https://github.com/TRPG0/HbkArchipelago/releases/latest/download/hi_fi_rush.apworld,
high_roller,https://github.com/ElireFeltores/High-Roller/releases/latest/download/high_roller.apworld,
hijack_pilot,https://github.com/Meliacci/Archipelago/releases/latest/download/hijack_pilot.apworld,
hitman_woa,https://github.com/BenDipp/Archipelago/releases/latest/download/hitman_woa.apworld,
hk,https://github.com/qwint/Archipelago/releases/latest/download/hk.apworld,
holo8,https://github.com/KitLemonfoot/ArchipelagoHolo8/releases/latest/download/holo8.apworld,
huniecamstudio,https://github.com/DotsofdarknessArchipelago/Hunie-Cam-Studio-Archipelago/releases/latest/download/huniecamstudio.apworld,
huniepop,https://github.com/DotsofdarknessArchipelago/HuniePopArchipelago/releases/latest/download/huniepop.apworld,
huniepop2,https://github.com/DotsofdarknessArchipelago/HuniePop2Archipelago/releases/latest/download/huniepop2.apworld,
hyperrogue,https://github.com/RealMelwei/hyperrogue_archipelago/releases/latest/download/hyperrogue.apworld,
icewall,https://github.com/System-of-Root/ICEwallAPword/releases/latest/download/icewall.apworld,
ihyps,https://github.com/chloebangbang/Archipelago/releases/latest/download/ihyps.apworld,
iji,https://github.com/Minish-Link/Iji-Archipelago/releases/latest/download/iji.apworld,
into_the_breach,https://github.com/Ishigh1/ITB-randomizer-for-AP/releases/latest/download/into_the_breach.apworld,
isles_of_sea_and_sky,https://github.com/Kim-Delicious/Archipelago_IslesOfSeaAndSky/releases/latest/download/isles_of_sea_and_sky.apworld,
ittle_dew_2,https://github.com/Extra-2-Dew/ArchipelagoRandomizer/releases/latest/download/ittle_dew_2.apworld,
jakii,https://github.com/narramoment/Archipelago/releases/latest/download/jakii.apworld,
jet_island,https://github.com/Nullctipus/JetIslandArchipelago/releases/download/0.0.2/jet_island.apworld,
jigsaw,https://github.com/spineraks-org/ArchipelagoJigsaw/releases/latest/download/jigsaw.apworld,
keen,https://github.com/kodbyte/Archipelago-Keen/releases/latest/download/keen.apworld,
khbbs,https://github.com/gaithernOrg/ArchipelagoKHBBS/releases/latest/download/khbbs.apworld,
khcom,https://github.com/gaithernOrg/ArchipelagoKHCOM/releases/latest/download/khcom.apworld,
khddd,https://github.com/LuxMake/Archipelago-KHDDD/releases/latest/download/khddd.apworld,
khrecom,https://github.com/gaithernOrg/ArchipelagoKHRECOM/releases/latest/download/khrecom.apworld,
kindergarten_2,https://github.com/agilbert1412/Archipelagarten/releases/latest/download/kindergarten_2.apworld,
kirby_air_ride,https://github.com/DeDeDeK/KARchipelago/releases/latest/download/kirby_air_ride.apworld,
kirby_squeak_squad,https://github.com/WindChill404/Kirby-Squeak-Squad-APWORLD/releases/latest/download/kirby_squeak_squad.apworld,
kirbyam,https://github.com/hasherwi/Archipelago-kirbyam/releases/latest/download/kirbyam.apworld,
kon,https://github.com/dannybonz/k-on_archipelago/releases/latest/download/kon.apworld,
ktane,https://github.com/GreenPower713/Archipelago/releases/latest/download/ktane.apworld,
ladx_beta,https://github.com/threeandthreee/Archipelago/releases/latest/download/ladx_beta.apworld,
laika_aged_through_blood,https://github.com/ItsSeras/Laika-Aged-Through-Blood-Archipelago/releases/download/v-0.1.2/laika_aged_through_blood.apworld,
lamulana2,https://github.com/Crownmuri/Archipelago/releases/latest/download/lamulana2.apworld,
layer8problem,https://github.com/TheZockerBrain069/Layer8Problem-AP/releases/latest/download/layer8problem.apworld,
legend_of_dragoon,https://github.com/pkolb-dev/Archipelago/releases/latest/download/legend_of_dragoon.apworld,
lego_batman_1,https://github.com/ZAPaDASH04/LEGO-Batman-APworld/releases/latest/download/lego_batman_1.apworld,
lego_star_wars_tcs,https://github.com/Mysteryem/Archipelago-TCS/releases/latest/download/lego_star_wars_tcs.apworld,
lethal_company,https://github.com/T0r1nn/APLC/releases/latest/download/lethal_company.apworld,
librarian,https://github.com/Str8UpWHITE64/Librarian-AP/releases/latest/download/librarian.apworld,
liesofp,https://github.com/Xtruh/LiesOfAP/releases/latest/download/liesofp.apworld,
lil_gator_game,https://github.com/natronium/GatorArchipelago/releases/latest/download/lil_gator_game.apworld,
little_witch_nobeta,https://github.com/danielgruethling/Archipelago/releases/download/0.3.2/little_witch_nobeta.apworld,
lobotomycorporation,https://github.com/Kli333/LobCorp-AP/releases/latest/download/lobotomycorporation.apworld,
lol,https://github.com/kbab13reel/Archipelago/releases/latest/download/lol.apworld,
look_outside,https://github.com/Turese/LOArchipelagoPlugins/releases/latest/download/look_outside.apworld,
loonyland,https://github.com/AutomaticFrenzy/Archipelago/releases/latest/download/loonyland.apworld,
lor,https://github.com/Az-LastPenguin/LORAP/releases/latest/download/lor.apworld,
lrff13,https://github.com/Bartz24/ArchipelagoLR/releases/latest/download/lrff13.apworld,
luigismansion,https://github.com/BootsinSoots/Archipelago/releases/latest/download/luigismansion.apworld,
lunacid,https://github.com/Witchybun/LunacidAPClient/releases/latest/download/lunacid.apworld,
manicminers,https://github.com/fogmike/Archipelago_ManicMiners/releases/latest/download/manicminers.apworld,
mario_kart_double_dash,https://github.com/aXu-AP/archipelago-double-dash/releases/latest/download/mario_kart_double_dash.apworld,
mario_sports_mix,https://github.com/ElectroStarz/ArchipelagoMSM/releases/latest/download/mario_sports_mix.apworld,
mario_super_sluggers,https://github.com/MarioManTAW/Archipelago/releases/latest/download/mario_super_sluggers.apworld,
mariomissing,https://github.com/TheRealSolidusSnake/Mario-Is-Missing/releases/latest/download/mariomissing.apworld,
medievil,https://github.com/riezahughes/MedievilAPWorld/releases/latest/download/medievil.apworld,
medievil2,https://github.com/riezahughes/Medievil2APWorld/releases/latest/download/medievil2.apworld,
megamix,https://github.com/Cynichill/DivaAPworld/releases/latest/download/megamix.apworld,
metrocubevania,https://github.com/AmaziaTheAmazing/ap-metrocubevania/releases/latest/download/metrocubevania.apworld,
metroidfusion,https://github.com/StalledStorm/ArchipelagoMine/releases/latest/download/metroidfusion.apworld,
metroidprime,https://github.com/UltiNaruto/MetroidAPrime/releases/latest/download/metroidprime.apworld,
mgs,https://github.com/SDMichaud/Archipelago-MGS/releases/latest/download/mgs.apworld,
mhfu,https://github.com/Silvris/Archipelago/releases/latest/download/mhfu.apworld,
mhw,https://github.com/QPL22/MHW_Archipelago/releases/latest/download/mhw.apworld,
mindustry,https://github.com/JohnMahglass/Archipelago-Mindustry/releases/download/v0.5.0/mindustry.apworld,
minecraft,https://github.com/qixils/NeoForgeAP/releases/latest/download/minecraft.apworld,
minecraft_dig,https://github.com/jacobmix/Minecraft_AP_Randomizer/releases/latest/download/minecraft_dig.apworld,
minecraft_fabric,https://github.com/Deadlydiamond98/MinecraftFabricAPWorld/releases/latest/download/minecraft_fabric.apworld,
minishoot,https://github.com/TheNooodle/MinishootRandomizer/releases/latest/download/minishoot.apworld,
minit,https://github.com/qwint/APMinit/releases/latest/download/minit.apworld,
miuultra,https://github.com/KitLemonfoot/ArchipelagoMIUU/releases/latest/download/miuultra.apworld,
mk64,https://github.com/Edsploration/MK64-Archipelago/releases/latest/download/mk64.apworld,
mkwii,https://github.com/toent/Archipelago-MKWii/releases/latest/download/mkwii.apworld,
mm_recomp,https://github.com/RecompRando/MMRecompRando/releases/latest/download/mm_recomp.apworld,
mmbn6,https://github.com/RischDev/Archipelago/releases/latest/download/mmbn6.apworld,
